course_id,subject_code,course_number
ACCT-2010,ACCT,2010
ART-1010,ART,1010
ART-1050,ART,1050
ART-1100,ART,1100
ART-1110,ART,1110
ART-2060,ART,2060
ASL-1010,ASL,1010
ASL-1020,ASL,1020
ASL-2010,ASL,2010
ASL-2020,ASL,2020
BIOL-1010,BIOL,1010
BIOL-1015,BIOL,1015
BIOL-1200,BIOL,1200
BIOL-1610,BIOL,1610
BIOL-1615,BIOL,1615
BIOL-2320,BIOL,2320
BIOL-2325,BIOL,2325
BIOL-2420,BIOL,2420
BIOL-2425,BIOL,2425
BTEC-1010,BTEC,1010
CHEM-1010,CHEM,1010
CHEM-1015,CHEM,1015
CHEM-1110,CHEM,1110
CHEM-1115,CHEM,1115
CHEM-1150,CHEM,1150
CHEM-1155,CHEM,1155
CHEM-1210,CHEM,1210
CHEM-1215,CHEM,1215
CHIN-1010,CHIN,1010
CHIN-1020,CHIN,1020
CHIN-2010,CHIN,2010
CHIN-2020,CHIN,2020
CHIN-3116,CHIN,3116
CHIN-3118,CHIN,3118
CIS-1200,CIS,1200
COMM-2110,COMM,2110
CS-1030,CS,1030
CS-1400,CS,1400
CS-1410,CS,1410
DANC-1010,DANC,1010
DES-1100,DES,1100
DES-1200,DES,1200
DES-1300,DES,1300
DES-1610,DES,1610
DES-2000,DES,2000
DES-2100,DES,2100
DES-2200,DES,2200
DES-2300,DES,2300
DES-2710,DES,2710
DES-2780,DES,2780
EDUC-1010,EDUC,1010
EMS-1110,EMS,1110
EMS-1120,EMS,1120
EMS-1140,EMS,1140
EMS-1145,EMS,1145
ENGL-1010,ENGL,1010
ENGL-1010D,ENGL,1010D
ENGL-2010,ENGL,2010
ENGL-2200,ENGL,2200
ENVS-1010,ENVS,1010
FIN-1750,FIN,1750
FSHD-1020,FSHD,1020
FSHD-1500,FSHD,1500
GEO-1010,GEO,1010
GEO-1015,GEO,1015
HIST-1500,HIST,1500
HIST-1510,HIST,1510
HIST-1700,HIST,1700
HIST-2700,HIST,2700
HIST-2710,HIST,2710
HLOC-1000,HLOC,1000
HUM-1010,HUM,1010
IT-1100,IT,1100
IT-1200,IT,1200
IT-2400,IT,2400
IXD-1200,IXD,1200
IXD-1300,IXD,1300
MATH-1010,MATH,1010
MATH-1030,MATH,1030
MATH-1040,MATH,1040
MATH-1050,MATH,1050
MATH-1060,MATH,1060
MATH-1080,MATH,1080
MATH-1100,MATH,1100
MATH-1210,MATH,1210
MATH-1220,MATH,1220
MATH-2210,MATH,2210
MDIA-1380,MDIA,1380
MDIA-1385,MDIA,1385
MECH-1000,MECH,1000
MECH-1005,MECH,1005
MECH-1100,MECH,1100
MECH-1150,MECH,1150
MECH-1200,MECH,1200
MECH-1205,MECH,1205
MGMT-2600,MGMT,2600
MGMT-2640,MGMT,2640
MGMT-2990R,MGMT,2990R
MUSC-1010,MUSC,1010
NURS-1005,NURS,1005
NURS-1007,NURS,1007
PHIL-1120,PHIL,1120
PHYS-1010,PHYS,1010
PHYS-1015,PHYS,1015
PHYS-1040,PHYS,1040
PHYS-1045,PHYS,1045
PHYS-2010,PHYS,2010
PHYS-2015,PHYS,2015
POLS-1100,POLS,1100
PSY-1010,PSY,1010
PSY-1100,PSY,1100
SE-1400,SE,1400
SOC-1010,SOC,1010
SPAN-3116,SPAN,3116
SPAN-3117,SPAN,3117
SPAN-3118,SPAN,3118
SSC-1900R,SSC,1900R
THEA-1013,THEA,1013
